@relation mqp_features

@attribute dt numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute rx numeric
@attribute ry numeric
@attribute rz numeric
@attribute rw numeric

@data
1475604583959.000064,0.92807,-0.03353,-0.974773,-0.035154,-0.027697,0.009587,?,?,?,?
1475604583992,0.925675,-0.015568,-1.053809,-0.035154,-0.033023,0.010653,?,?,?,?
1475604584044,0.978365,0.031135,-0.9137,0.007457,0.006392,-0.008522,?,?,?,?
1475604584079.000064,0.973575,-0.01437,-1.033451,-0.015979,0.017044,-0.014914,?,?,?,?
1475604584084,0.88017,-0.081431,-0.97118,-0.001065,0.035154,-0.019175,?,?,?,?
1475604584144,1.025068,0.135319,-0.893342,0.012783,0.035154,-0.017044,?,?,?,?
1475604584176,1.027463,0.184417,-0.888552,0.028762,0.033023,-0.015979,?,?,?,?
1475604584220,0.967588,0.059875,-1.029858,-0.015979,0.009587,-0.013848,?,?,?,?
1475604584224,1.008303,0.158071,-1.088536,-0.005326,0.005326,-0.004261,?,?,?,?
1475604584283.000064,0.974773,0.192799,-1.075364,0.014914,-0.006392,-0.003196,?,?,?,?
1475604584291.000064,1.005908,0.100591,-1.174757,-0.009587,-0.009587,-0.002131,?,?,?,?
1475604584323.000064,1.011896,-0.003593,-1.181942,-0.013848,-0.006392,-0.001065,?,?,?,?
1475604584423.000064,1.009501,0.128134,-1.001118,-0.004261,0.004261,0,?,?,?,?
1475604584452.999936,1.005908,0.003593,-1.004711,0,0.010653,0.008522,?,?,?,?
1475604584483.000064,0.979563,0.106578,-1.102906,-0.017044,0.011718,0.009587,?,?,?,?
1475604584511.000064,0.979563,0.079036,-1.065784,0.003196,0.010653,0.011718,?,?,?,?
1475604584542.000128,0.991538,0.03353,-1.078956,-0.002131,0.010653,0.013848,?,?,?,?
1475604584575.000064,0.986748,0.034728,-1.098116,-0.007457,0.012783,0.010653,?,?,?,?
1475604584604.999936,0.984353,0.086221,-1.016686,-0.004261,0.015979,0.010653,?,?,?,?
1475604584631.000064,1.003513,0.045505,-1.025068,-0.002131,0.014914,0.012783,?,?,?,?
1475604584664,0.998723,0.092208,-1.003513,-0.002131,0.015979,0.012783,?,?,?,?
1475604584707.000064,0.955613,0.015568,-1.069376,0.001065,-0.001065,0.006392,?,?,?,?
1475604584750.000128,0.958008,0.002395,-1.105301,0.006392,0.002131,0.005326,?,?,?,?
1475604584785.999872,0.940045,0.130529,-1.138832,0.007457,0,-0.003196,?,?,?,?
1475604584840.999936,0.992736,0.092208,-0.87538,0.004261,0.011718,-0.007457,?,?,?,?
1475604584844,0.981958,0.063468,-1.011896,0.009587,0.014914,-0.002131,?,?,?,?
1475604584862.000128,0.890947,0.005988,-1.166375,0.013848,0.006392,-0.009587,?,?,?,?
1475604584912.999936,1.081351,0.0479,-1.102906,0.024501,0.013848,-0.004261,?,?,?,?
1475604584940.999936,1.039438,0.123344,-1.087339,-0.001065,0.019175,-0.003196,?,?,?,?
1475604585049.999872,0.91849,0.041913,-1.029858,-0.004261,0.015979,-0.002131,?,?,?,?
1475604585108.999936,0.893342,0.035925,-1.035846,-0.018109,-0.014914,0.004261,?,?,?,?
1475604585150.000128,1.019081,0.092208,-1.222657,-0.012783,-0.004261,-0.006392,?,?,?,?
1475604585236.999936,0.94244,0.088616,-0.91849,-0.029827,-0.005326,0.003196,?,?,?,?
1475604585284,1.017883,0.083826,-1.069376,-0.022371,-0.015979,-0.013848,?,?,?,?
1475604585336.999936,0.992736,0.225132,-0.9616,-0.030893,0.009587,-0.009587,?,?,?,?
1475604585383.000064,0.990341,0.058678,-0.931663,-0.045806,-0.007457,0.001065,?,?,?,?
1475604585436.999936,1.003513,-0.01916,-1.087339,-0.066046,0.001065,0.006392,?,?,?,?
1475604585489.999872,1.015488,0.095801,-1.083746,-0.030893,0,-0.010653,?,?,?,?
1475604585588,1.090931,-0.03353,-1.295706,-0.042611,0.005326,-0.015979,?,?,?,?
1475604585633.999872,1.040636,0.32692,-0.710123,0.053263,0.014914,0.019175,?,?,?,?
1475604585664,1.032253,0.03353,-1.106499,0.034088,0.003196,0.002131,?,?,?,?
1475604585804,1.041834,0.062271,-1.026266,0.013848,0.013848,0.004261,?,?,?,?
1475604585896,1.047821,0.03353,-1.120869,0.008522,-0.003196,0.002131,?,?,?,?
1475604585963.000064,0.981958,0.077838,-1.201102,0.017044,0.010653,0,?,?,?,?
1475604586079.000064,0.967588,0.063468,-0.974773,0.008522,0.008522,-0.002131,?,?,?,?
1475604586436,1.126857,0.162861,-1.167572,0.005326,0.004261,-0.003196,?,?,?,?
1475604586883.000064,0.978365,0.085023,-1.078956,0.005326,0.008522,0.002131,?,?,?,?
1475604586992.999936,0.958008,0.077838,-1.143622,0.005326,0.011718,0.004261,?,?,?,?
1475604587033.999872,0.925675,0.142504,-1.005908,0.001065,0.013848,0.003196,?,?,?,?
1475604587084,0.949625,0.037123,-0.973575,0.018109,0.011718,0.007457,?,?,?,?
1475604587128.999936,0.940045,0.075443,-1.020278,0.007457,0.007457,0.011718,?,?,?,?
1475604587195.000064,0.96639,0.003593,-1.076561,0,0.002131,0.007457,?,?,?,?
1475604587360,0.896935,0.141306,-0.943638,0,0,0.007457,?,?,?,?
1475604587384.999936,1.021476,0.116158,-1.028661,0.002131,-0.003196,0.009587,?,?,?,?
1475604587440.999936,1.015488,0.007185,-0.94244,0.005326,-0.001065,0.010653,?,?,?,?
